Date,Ticker,Open,High,Low,Close,Adjusted,Returns,Volume
2024-04-25,XELB,7.109000205993652,7.109000205993652,6.900000095367432,7.099999904632568,7.099999904632568,0.0,2410
2024-04-26,XELB,6.909999847412109,7.107999801635742,6.699999809265137,6.857999801635742,6.857999801635742,-0.034084522006673224,1250
2024-04-29,XELB,7.0,7.909999847412109,6.699999809265137,7.53000020980835,7.53000020980835,0.0979878138830399,19610
2024-04-30,XELB,7.679999828338623,8.211000442504883,7.199999809265137,7.5,7.5,-0.003984091497005848,1250
2024-05-01,XELB,7.5,7.5,7.315000057220459,7.400000095367432,7.400000095367432,-0.013333320617675781,670
2024-05-02,XELB,7.5,7.8520002365112305,7.251999855041504,7.803999900817871,7.803999900817871,0.05459456760052639,1750
2024-05-03,XELB,7.900000095367432,7.900000095367432,7.321000099182129,7.329999923706055,7.329999923706055,-0.06073808087339172,2450
2024-05-06,XELB,7.5,7.800000190734863,7.309999942779541,7.420000076293945,7.420000076293945,0.012278329266664834,3780
2024-05-07,XELB,7.800000190734863,8.258000373840332,7.455999851226807,7.679999828338623,7.679999828338623,0.03504039748939447,2650
2024-05-08,XELB,7.800000190734863,7.800000190734863,6.9710001945495605,7.050000190734863,7.050000190734863,-0.08203120464652991,1880
2024-05-09,XELB,7.400000095367432,7.400000095367432,6.849999904632568,7.039999961853027,7.039999961853027,-0.0014184721434444825,2830
2024-05-10,XELB,7.599999904632568,7.689000129699707,7.0,7.064000129699707,7.064000129699707,0.0034091147694215174,2510
2024-05-13,XELB,7.175000190734863,7.349999904632568,6.849999904632568,7.125999927520752,7.125999927520752,0.00877686816006329,2840
2024-05-14,XELB,7.179999828338623,7.25600004196167,6.900000095367432,7.202000141143799,7.202000141143799,0.010665199887181176,1770
2024-05-15,XELB,7.400000095367432,7.400000095367432,6.960999965667725,7.099999904632568,7.099999904632568,-0.014162765136384925,3070
2024-05-16,XELB,7.300000190734863,7.699999809265137,7.099999904632568,7.099999904632568,7.099999904632568,0.0,1520
2024-05-17,XELB,7.7789998054504395,7.7789998054504395,7.47599983215332,7.550000190734863,7.550000190734863,0.06338032283756534,500
2024-05-20,XELB,7.550000190734863,7.593999862670898,6.699999809265137,6.874000072479248,6.874000072479248,-0.08953643724210536,5480
